Mean_0,Std_0,Min_0,Max_0,label
0.0987677,0.10766968,0.5175462,0.0026802372,neutro
0.11898544,0.121566094,0.41495118,0.00423731,tristeza
0.09949778,0.09632659,0.39858273,0.0014661307,felicidade
0.10576271,0.098206684,0.46320286,0.00082124426,raiva
0.09285651,0.09470626,0.38518053,0.00039125644,raiva
0.12171976,0.101341285,0.34977955,0.0018570194,neutro
0.052576076,0.058281552,0.24435657,0.00038013165,raiva
0.12856585,0.112081446,0.50570995,0.0037136883,tristeza
0.09034076,0.09157303,0.35687196,0.0016062288,felicidade
0.086273625,0.08187544,0.27798608,0.0025312486,neutro
0.06143855,0.068919614,0.3376749,0.0016051894,neutro
0.13053142,0.091221936,0.40712845,0.0013505947,felicidade
0.07214933,0.096492134,0.37758982,0.0006987639,felicidade
0.085755885,0.10397123,0.43387488,0.0026549157,tristeza
0.08992558,0.113950565,0.54016435,0.0042396197,neutro
0.123332836,0.118175015,0.35782138,0.004679909,neutro
0.06580277,0.075794704,0.313867,0.00042007866,neutro
0.10058868,0.09672489,0.42149714,0.003717335,tristeza
0.13444193,0.108275436,0.48079205,0.0005733187,raiva
0.079304986,0.08216559,0.42517427,0.0010316235,neutro
0.10618058,0.10865193,0.49328384,0.00077278283,felicidade
0.118498705,0.09839388,0.5179301,0.005381028,tristeza
0.09930608,0.07040976,0.31689706,0.0031551041,felicidade
0.1532067,0.112137385,0.3944317,0.0016207019,neutro
0.087047145,0.07490103,0.27964714,0.0011824667,felicidade
0.09683667,0.09017222,0.43283623,0.0053160647,felicidade
0.08281934,0.07662438,0.2670409,0.0012283319,raiva
0.055977106,0.065726474,0.31676418,0.0003873738,raiva
0.10613744,0.06816547,0.34995094,0.0015741346,tristeza
0.080093555,0.08630108,0.38504553,0.0004578579,raiva
0.12901229,0.092746526,0.38833377,0.009509698,tristeza
0.112952515,0.09305413,0.35851163,0.0005508549,felicidade
0.09175569,0.118813306,0.63731915,0.0021084992,tristeza
0.0659483,0.07233249,0.3264338,0.00028413653,raiva
0.07559858,0.07673282,0.3151674,0.0022976499,tristeza
0.13279474,0.103113376,0.45971417,0.0016942101,felicidade
0.08152623,0.082547456,0.2881794,0.00061302236,felicidade
0.11045532,0.08802525,0.37181944,0.0010413652,felicidade
0.14594999,0.10980469,0.36307392,0.0024713688,neutro
0.08046151,0.07933538,0.27721006,0.0022848004,tristeza
0.17808561,0.09087647,0.34996742,0.008410478,neutro
0.12784745,0.13143691,0.4218281,0.0034208505,tristeza
0.10853027,0.13723975,0.53835785,0.00029759912,felicidade
0.09881602,0.11451112,0.4380977,0.0037465792,tristeza
0.048656598,0.055218507,0.22861774,0.0004878503,raiva
0.14394066,0.12998068,0.46975526,0.0021737465,tristeza
0.08473064,0.08776349,0.3412993,0.00038315935,felicidade
0.0976737,0.094175085,0.47357848,0.0010484974,neutro
0.017866153,0.031924754,0.21696456,0.00032790538,raiva
0.05366249,0.073687114,0.28297338,0.0037905653,tristeza
0.0987727,0.09692264,0.40180108,0.0015734836,felicidade
0.11661696,0.09945197,0.3494036,0.004329072,neutro
0.09604415,0.09126014,0.38080838,0.0004020085,felicidade
0.09261682,0.07955514,0.39697665,0.00320125,neutro
0.096870266,0.09142349,0.40632114,0.00027015002,raiva
0.1745275,0.16295014,0.59092075,0.002532714,tristeza
0.1065039,0.114969574,0.4607676,0.003152476,tristeza
0.08207665,0.0797047,0.37048095,0.00057765,raiva
0.057181057,0.052169893,0.20731837,0.0010572486,neutro
0.06617641,0.06764059,0.36830652,0.0010365676,felicidade
0.07653783,0.0866209,0.32948685,0.0003326622,felicidade
0.0899789,0.09837487,0.39732945,0.00053051184,felicidade
0.08807124,0.10953373,0.57658374,0.0009414681,tristeza
0.109245434,0.08515225,0.35005748,0.00051821297,neutro
0.078357264,0.07401958,0.35305724,0.0005233557,raiva
0.09554563,0.08443846,0.42876264,0.004603357,tristeza
0.06666606,0.072401896,0.25960493,0.00067075144,raiva
0.14670709,0.108990036,0.4941717,0.0026620948,tristeza
0.17071556,0.089095026,0.33247933,0.009502082,neutro
0.12138927,0.14359525,0.5936931,0.0033110918,tristeza
0.094986364,0.108612195,0.51367974,0.0026401018,tristeza
0.09241499,0.08872469,0.3442951,0.00068441464,raiva
0.12321452,0.10415851,0.37982884,0.00217267,neutro
0.14229318,0.10078266,0.4326689,0.0020913654,tristeza
0.08090118,0.09590994,0.3559566,0.0030844638,tristeza
0.076037936,0.09191552,0.39798355,0.0005424974,felicidade
0.082702965,0.081796534,0.2862883,0.002572737,neutro
0.077212445,0.087196425,0.48764685,0.0009901385,felicidade
0.055763733,0.07403932,0.36040035,0.0008688235,raiva
0.0776841,0.07774891,0.40010783,0.0026372466,neutro
0.14685576,0.09037518,0.46364573,0.005694599,tristeza
0.11330561,0.112019844,0.4373536,0.00094437355,felicidade
0.06055778,0.05880352,0.26368988,0.0020137327,neutro
0.0629587,0.07663649,0.31308898,0.00039500944,felicidade
0.16642122,0.11334607,0.4088327,0.003699724,tristeza
0.07029446,0.06935199,0.28947347,0.0011765333,neutro
0.10153296,0.08022887,0.29351667,0.00095270324,neutro
0.13604043,0.12588692,0.46126068,0.0033534975,neutro
0.14582452,0.100816526,0.39052752,0.0009128837,raiva
0.13203534,0.12810227,0.4718005,0.0006770649,raiva
0.055089302,0.06256929,0.30851692,0.00060696556,raiva
0.1223849,0.09415024,0.37542683,0.0041870996,tristeza
0.033644073,0.045968067,0.27661616,0.000324022,raiva
0.071851686,0.08942215,0.4341136,0.0018736133,tristeza
0.09796416,0.072902136,0.35193563,0.0014033824,tristeza
0.13998218,0.08818216,0.3894184,0.0025776222,tristeza
0.100935504,0.09015438,0.43629125,0.0026678739,tristeza
0.08810047,0.07112431,0.29648218,0.0013642401,neutro
0.16200446,0.11866865,0.4854036,0.0020986223,neutro
0.0961847,0.08046277,0.25977018,0.0030935972,neutro
0.11285943,0.116998434,0.4783815,0.0015259883,neutro
0.0702468,0.07219628,0.30893692,0.000816075,raiva
0.08033774,0.08970134,0.47674352,0.00033996618,raiva
0.1295216,0.10058576,0.40627572,0.00045196002,raiva
0.05087927,0.07385799,0.3552588,0.0013288747,tristeza
0.055637993,0.06925931,0.2863087,0.0016036474,neutro
0.087295085,0.07783896,0.2790041,0.00095198053,raiva
0.09808044,0.10927697,0.4578762,0.0007815732,raiva
0.024418008,0.040117938,0.22586209,0.00022264721,raiva
0.086263575,0.08277197,0.3086542,0.0018506162,neutro
0.12600511,0.07012416,0.276718,0.004141887,neutro
0.07308831,0.081232056,0.32093942,0.0038127939,tristeza
0.060651597,0.073354036,0.34857318,0.0003817164,felicidade
0.09776683,0.08997943,0.34200484,0.0005764549,raiva
0.10082641,0.08379226,0.31439883,0.0013634007,felicidade
0.13360724,0.13868174,0.53213584,0.00090617774,raiva
0.040835194,0.047493786,0.35407773,0.00087065867,tristeza
0.08673193,0.09709158,0.3886079,0.0012663096,felicidade
0.06134013,0.04810366,0.18192819,0.0013111732,neutro
0.091730684,0.08393776,0.36449254,0.0015709397,neutro
0.11937469,0.099411845,0.3691919,0.0021621156,tristeza
0.14020595,0.12287047,0.44863564,0.0023159808,tristeza
0.10161898,0.097538374,0.3640657,0.00062034186,raiva
0.08872608,0.08826975,0.35763818,9.721925e-05,felicidade
0.058156513,0.075992346,0.3839554,3.31719e-05,felicidade
0.08694236,0.063781135,0.23947762,0.0035111967,tristeza
0.038235106,0.052242078,0.3323156,0.00013480794,raiva
0.06624072,0.0735321,0.47250912,0.0006873554,felicidade
0.09113855,0.0856424,0.35104436,0.00045623176,felicidade
0.07390752,0.07930181,0.34380335,0.0024247644,neutro
0.108529575,0.11224397,0.6175543,0.00032635176,raiva
0.101963736,0.11727558,0.4708231,0.00048807164,raiva
0.08464724,0.109711096,0.506704,0.0039439113,neutro
0.09513807,0.09770835,0.40014866,0.0006431036,raiva
0.08293411,0.066894285,0.3295366,0.0021231999,neutro
0.103604145,0.10644827,0.37189162,0.0037102501,tristeza
0.079884335,0.08442939,0.3226181,0.0004986148,raiva
0.07305337,0.072493054,0.24283975,0.0018972274,tristeza
0.1624728,0.095032245,0.35272968,0.006689108,neutro
0.077265576,0.07491753,0.2828536,0.0011914356,felicidade
0.06270535,0.06397152,0.29335266,0.0013701685,neutro
0.10241071,0.10438263,0.4809767,0.0023313945,neutro
0.076865725,0.08010325,0.32481775,0.000974943,felicidade
0.12395355,0.095095105,0.4459375,0.0007349253,felicidade
0.07406668,0.07271661,0.3047084,0.0009845443,felicidade
0.096432,0.095996365,0.3515874,0.00057068415,raiva
0.041608606,0.03755561,0.18132065,0.0015713912,raiva
0.104590274,0.08412487,0.48273984,0.0023357586,tristeza
0.12768577,0.09848731,0.35834834,0.0010837098,felicidade
0.05492165,0.046637762,0.20700872,0.0015489438,raiva
0.057376675,0.08009643,0.37567675,0.00027133332,felicidade
0.09495612,0.07076266,0.35713446,0.0014819828,tristeza
0.068181954,0.067887254,0.26101616,0.00021450783,raiva
0.12601244,0.11447208,0.37879395,0.0033029895,neutro
0.10352345,0.107133955,0.43726254,0.0036173225,tristeza
0.0805436,0.07652025,0.3192237,0.0008523836,felicidade
0.13353023,0.103290685,0.38972828,0.0004997513,felicidade
0.08996792,0.091008544,0.45599714,0.0021163307,felicidade
0.09942973,0.118741825,0.45928687,0.0029137111,tristeza
0.045576576,0.048773125,0.21117538,0.0015078008,neutro
0.068600714,0.07776394,0.46468928,0.0011227841,raiva
0.08469834,0.106376246,0.40538552,0.0035186722,neutro
0.039742306,0.04234728,0.25004816,0.00050378335,raiva
0.08705526,0.110635184,0.50373983,0.00056542474,felicidade
0.06004198,0.048194498,0.25370905,0.00086955883,raiva
0.079330266,0.084346086,0.37290317,0.0014533459,felicidade
0.14565837,0.13866161,0.5662375,0.0007423815,felicidade
0.11380966,0.068227716,0.2673003,0.0034167801,tristeza
0.11589364,0.07683609,0.35557258,0.0066725756,neutro
0.12970267,0.11243823,0.40750825,0.0031721694,tristeza
0.1085706,0.087683514,0.38380972,0.0040192255,tristeza
0.06553399,0.08502538,0.37431175,0.0033961728,neutro
0.1198832,0.07159823,0.2852968,0.003882952,neutro
0.04624489,0.052793417,0.2740349,0.00050772924,raiva
0.06878816,0.0807219,0.37303182,0.0012935039,felicidade
0.104876965,0.108065546,0.44862065,0.003316973,tristeza
0.063783735,0.07569078,0.34529024,0.0004037406,felicidade
0.08452518,0.087448515,0.41417232,0.001516727,felicidade
0.15137382,0.10086806,0.38618362,0.0016927943,raiva
0.10725352,0.0789416,0.35055414,0.0009852313,raiva
0.052911304,0.067937806,0.31588444,0.002633299,neutro
0.103206486,0.111830555,0.39005283,0.0022680187,tristeza
